#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.79e+01    4.79e+01      1.52e+00    1.61e+00      1.12e+00    1.44e+00    1.0e-03
    100      2.63e+01    2.50e+01      3.23e-01    3.12e-01      8.26e-01    7.85e-01    1.0e-03
    200      1.82e+01    1.14e+01      1.24e-01    2.50e-02      5.75e-01    3.59e-01    1.0e-03
    300      9.71e+00    9.80e+00      7.94e-02    8.26e-02      3.06e-01    3.09e-01    1.0e-03
    400      1.03e+01    9.38e+00      1.37e-01    8.74e-02      3.25e-01    2.96e-01    1.0e-03
    500      8.64e+00    7.36e+00      4.82e-02    1.14e-01      2.73e-01    2.31e-01    1.0e-03
    600      1.02e+01    5.88e+00      5.76e-02    1.69e-01      3.24e-01    1.80e-01    1.0e-03
    700      6.25e+00    9.05e+00      1.74e-01    1.21e-02      1.92e-01    2.86e-01    1.0e-03
    800      5.26e+00    7.23e+00      2.86e-01    1.17e-01      1.45e-01    2.26e-01    1.0e-03
    900      6.90e+00    6.04e+00      1.10e-01    2.19e-01      2.16e-01    1.81e-01    1.0e-03
   1000      6.06e+00    5.26e+00      1.89e-01    1.26e-01      1.84e-01    1.63e-01    1.0e-03
   1100      7.19e+00    5.90e+00      4.49e-01    3.53e-01      1.89e-01    1.58e-01    1.0e-03
   1200      5.86e+00    5.72e+00      2.45e-01    2.29e-01      1.72e-01    1.69e-01    1.0e-03
   1300      4.66e+00    5.18e+00      5.00e-02    3.20e-03      1.47e-01    1.64e-01    1.0e-03
   1400      8.73e+00    5.96e+00      4.94e-01    3.60e-01      2.38e-01    1.59e-01    1.0e-03
   1500      6.28e+00    6.80e+00      5.36e-01    3.40e-01      1.28e-01    1.93e-01    1.0e-03
   1600      5.35e+00    5.27e+00      3.89e-01    3.58e-01      1.29e-01    1.32e-01    1.0e-03
   1700      5.79e+00    6.44e+00      3.88e-01    2.69e-01      1.47e-01    1.89e-01    1.0e-03
   1800      4.61e+00    4.24e+00      1.58e-02    4.35e-03      1.46e-01    1.34e-01    1.0e-03
